title,city/area,block/sector,bedroom,bathroom,sqrtFeet,price
To Get A Trouble Free Life You Can Take Rent This 2450 Sq Ft Full Furnished House In ..., Bashundhara R-A,Block J,3,3,1236.0,7000000.0
Affordable And Beautiful Flat Is Up For Rent In Uttara Which Is 1500 Sq Ft, Uttara,Sector 10,3,3,1654.0,8500000.0
A Rightly Planned Furnished Flat Is Found For Rent In Bashundhara Nearby Bashundhara ..., Bashundhara R-A,Block I,3,4,1400.0,6000000.0
"1450 Sq Ft Apartment Is Ready For Rent In Aftab Nagar, Block F", Aftab Nagar,Block F,3,3,1796.0,14000000.0
Live In This 1200 Sq Ft Full-furnished Flat For Rent In Uttara-14, Uttara,Sector 14,2,2,1600.0,9500000.0
1750 Square Feet Flat Is Ready For Rent In Uttara 9, Uttara,Sector 9,3,3,1560.0,10000000.0
"Reasonable 1508 Sq Ft Flat Is Available For Rent In Bashundhara R-a, Block H", Bashundhara R-A,Block H,3,3,1370.0,8500000.0
A Fine 1100 Sq Ft Flat Is Now For Rent Which Is In Badda,,Badda,2,2,860.0,5590000.0
"Lovely Apartment Of 1400 Sq Ft Is Up For Rent In Circular Road, Dhanmondi", Dhanmondi,Circular Road,3,4,1133.0,6231500.0
1250 Sq Ft Apartment For Rent In Kallyanpur With All Facilities, Mirpur,Kallyanpur,3,2,1200.0,6000000.0
A Convenient And Well-constructed 3100 Sq.ft Flat Is For Rent At Gulshan 1., Gulshan,Gulshan 1,3,4,1300.0,7000000.0
"2000 Sq Ft Modern Flat With Good Accommodations Is Up For Rent In Bashundhara R-a, Bl...", Bashundhara R-A,Block J,3,3,1200.0,5500000.0
"1300 Sq Ft Furnished Apartment For Rent Near North South University, In Bashundhara R...", Bashundhara R-A,Block D,3,3,1200.0,5500000.0
Pursue This 900 Square Feet Apartment Up For Rent In Mirpur, Mirpur,West Shewrapara,2,2,1200.0,5500000.0
"1300 Sq Ft Apartment For Rent In Shah Ali Bag, Mirpur", Mirpur,Section 1,3,2,1250.0,7000000.0
"1200 Sq Ft Amazing Apartment Is For Rent In Mirpur, Kallyanpur", Mirpur,Kallyanpur,3,3,1200.0,6350000.0
Reasonable 1640 Square Feet Apartment For Rent In Old Eskaton, Eskaton,Old Eskaton,3,3,1530.0,10700000.0
"1200 Sq Ft Perfect Apartment Is For Rent In Mirpur, Darussalam", Mirpur,Darussalam,3,3,1500.0,9000000.0
3500 Sq Ft Full Furnished Flat For Rent In Gulshan 2, Gulshan,Gulshan 2,4,5,2802.0,42000000.0
Luxurious Living in Baridhara | Spacious 4-Bedroom Apartment for Rent, Baridhara,Road No 4,4,4,350.0,5500000.0
Best Location In Baridhara | Spacious And Bright 4 Bed Apt. | For Rent, Baridhara,Road No 4,4,4,1500.0,25000000.0
Elegant 4-bedroom 4000 Sq Ft Apartment For Rent In Baridhara, Baridhara,Road No 4,4,4,1220.0,16300000.0
"1750 Square Feet Pleasant Apartment For Rent In Mohammadpur, Gajanabi Road", Mohammadpur,Gajanabi Road,3,4,1280.0,5000000.0
Kallyanpur Is Offering A 1285 Sq Ft Flat For Rent To Pick It For Your Next Home., Mirpur,Kallyanpur,3,3,1430.0,8580000.0
A 850 Sq Ft Flat Is Up For Rent In A Well Secured Location Of North Pirerbag, Mirpur,Pirerbag,2,2,1295.0,6500000.0
"We Are Delighted To Offer This Stunning 1250 Sq Ft Apartment For Rent, Located In Nob...", Mohammadpur,Nobodoy Housing Society,3,3,850.0,7000000.0
See This 4200 Sq Ft Apartment For Rent Is All Set For You In Gulshan 2, Gulshan,Gulshan 2,5,5,1300.0,8400000.0
Apartment For Rent In Gulshan Nearby United Hospital And Russian Embassy, Gulshan,Gulshan 2,4,4,650.0,3000000.0
Reasonable 1400 Sq Ft Flat For Rent In Mohammadpur, Mohammadpur,Mohammadi Housing LTD.,3,2,2475.0,23500000.0
"1350 Sq Ft Flat Is Up For Rent In Mohammadpur, Tajmahal Road", Mohammadpur,Tajmahal Road,3,3,2500.0,65000000.0
2290 Sq Ft Nice Apartment For Rent In Uttara-12, Uttara,Sector 12,3,4,1256.0,6500000.0
"1250 Sq Ft Residential Apartment For Rent In Borobag, Mirpur", Mirpur,Section 2,3,3,690.0,3000000.0
Deal With This 1250 Sq Ft Apartment Ready To Rent In Mirpur-12, Mirpur,Section 12,3,3,1260.0,7000000.0
Property For Rent In Banasree – 1150 Sq Ft Apartment, Banasree,Block M,3,2,1275.0,7200000.0
Appealing Property In Banasree – 1150 Sq Ft Flat For Rent, Banasree,Block M,3,2,2650.0,21000000.0
"1100 Sq Ft Apartment For Rent In Shyamoli, Mohonpur Road", Shyamoli,Mohonpur Road,3,3,2700.0,26500000.0
2000 Sq.ft Spacious Apartment Is Up For Rent In Gulshan 2, Gulshan,Gulshan 2,3,3,1800.0,9000000.0
"1050 Sq Ft Wonderful Apartment Is Ready For Rent In Mirpur, Ahmed Nagar", Mirpur,Ahmed Nagar,3,3,600.0,2000000.0
1850 Square Feet Full Furnished Apartment Is Ready For Rent In Uttara-11, Uttara,Sector 11,3,4,930.0,3900000.0
"A 1350 Sq Ft Residence For Rent With Spacious Bedrooms, Located At Boro Maghbazar", Maghbazar,Boro Maghbazar,3,3,650.0,2400000.0
Prominent 2800 Square Feet Semi-furnished Apartment For Rent In Banani, Banani,Road No 20,4,4,1850.0,9800000.0
We Got A 2190 Sq Ft Flat For Rent In This Uttara-12 Area Which Is Very Affordable And..., Uttara,Sector 12,3,4,1470.0,7800000.0
"Great Location! Check Out This 2385 Sq Ft Flat For Rent In Sector 12, Uttara", Uttara,Sector 12,4,4,1396.0,9674000.0
A Well Sized 1200 Sq Ft Residential Home Is Available For Rent At Shyamoli, Shyamoli,Dhaka Housing Main Road,3,3,2415.0,25500000.0
2350 Sq Ft Road Sided Furnished Apartment For Rent In Gulshan, Gulshan,Gulshan 1,3,3,1463.0,5852000.0
At Banani Nice Flat Up For Rent Near Banani Police Station, Banani,Road No 7B,3,4,780.0,2730000.0
2200 Sq Ft Apartment For Rent Is Located On Gulshan Near To Scholastica School Gulsha..., Gulshan,Gulshan 2,3,4,1200.0,5400000.0
Live In This 1950 Square Feet Apartment For Rent In Old Eskaton, Eskaton,Old Eskaton,3,4,1200.0,5400000.0
Notable 1600 Sq Ft Ready Apartment For Rent In Aftab Nagar, Aftab Nagar,Block B,3,3,1100.0,4950000.0
Grab This 1500 Square Feet Apartment For Rent In Kalabagan, Kalabagan,Dolphin Goli Road,3,3,600.0,2880000.0
Splendid 3000 Square Feet Residential Apartment For Rent In Kalabagan, Kalabagan,Lake Circus Road,5,5,1500.0,12500000.0
"1050 Square Feet Apartment Is For Rent In Mirpur, Monipur", Mirpur,Monipur,3,2,1240.0,8060000.0
"Grab This 1450 Sq Ft Apartment For Rent In Banasree, South Banasree Project", Banasree,South Banasree Project,3,3,700.0,3500000.0
"Meet With A Fascinating 1500 Sq Ft Ready Flat For Rent In Block C, Lalmatia", Lalmatia,Block C,3,3,1065.0,6000000.0
Use Your Time Perfectly To Take This 2000 Sq Ft Apartment For Rent In Baridhara, Baridhara,Block J,3,4,600.0,2600000.0
Take A Look At This 1200 Sq Ft Flat To Rent In Rampura, Rampura,East Rampura,3,3,1050.0,5500000.0
Grab This 950 Sq Ft Full Furnished Apartment For Rent In Uttara-9, Uttara,Sector 9,3,2,1310.0,9200000.0
An Apartments Of 2900 Sq Ft Is Available For Rent In The Most Prime Location Of Gulsh..., Gulshan,Gulshan 2,4,4,1020.0,5000000.0
Pursue This 1654 Sq Ft Apartment For Rent In Uttara-18, Uttara,Sector 18,3,4,1220.0,9500000.0
Fairly Large Apartment Of 2300 Sq Ft Is Ready For Rent In Gulshan 2, Gulshan,Gulshan 2,3,3,650.0,2800000.0
Be The Dweller Of This Beautiful 1200 Sq Ft Residential Property Vacant For Rent At M..., Mohammadpur,PC Culture Housing,3,3,1310.0,12000000.0
A Nicely Built 1100 Sq Ft 3 Bedroom Apartment Is Available For Rent In Tolarbag, Mirpur,Section 1,3,3,1310.0,9825000.0
A Nice Soundless Apartment For Rent In Mohammadi Housing Ltd., Mohammadpur,Mohammadi Housing LTD.,3,4,650.0,2800000.0
"900 Sq Ft Flat For Rent In West Shewrapara, Near To Baitul Arafa Masjid", Mirpur,West Shewrapara,2,2,765.0,5207500.0
Rarely Available A Spacious Apartment Is Up For Rent At Adabor Nearby Crest Internati..., Adabor,Baitul Aman Housing Society,3,3,895.0,5500000.0
Visit This Apartment For Rent In Bashundhara R-A Near Sunflower School And College, Bashundhara R-A,Block C,3,4,1465.0,8600000.0
2500 Square Feet Amazing Home Is Up For Rent In Uttara Near To Lubana General Hospita..., Uttara,Sector 13,3,4,1400.0,6300000.0
"Have A Look At This 1950 Sq Ft Flat For Rent Near By Radical Hospital In Uttara, Sect...", Uttara,Sector 12,3,4,1400.0,6300000.0
Suitable 1525 Square Feet Apartment Is Up For Rent In New Eskaton Road, Eskaton,New Eskaton Road,3,3,1400.0,8400000.0
Here Is A Beautiful Residence Of 1350 Sq Ft Waiting For Rent At Banasree, Banasree,Block E,3,3,1350.0,8125000.0
"1400 Sq Ft Apartment For Rent In Banasree, Block E", Banasree,Block E,3,3,1375.0,14550000.0
"Modest 1300 Sq Ft Apartment Is Available For Rent, Kallyanpur", Mirpur,Kallyanpur,3,3,850.0,3300000.0
Vacant Now | Three Bedrooms 1600 Sq Ft Apt. | Ready To Rent in Aftab Nagar, Aftab Nagar,Block H,3,3,1420.0,8200000.0
A Beautifully Constructed Apartment Of 1900 Sq Ft Is Vacant Right Now For Rent In She..., Hazaribag,Sher-E-Bangla Road,3,3,1475.0,15550000.0
Offering You 1250 Sq Ft Well-constructed Flat To Rent In Shukrabad, Dhanmondi,Shukrabad,3,2,2036.0,17000000.0
For Renting 1800 Square Feet Home Is Available In Aftab Nagar, Aftab Nagar,Block F,3,4,2200.0,22000000.0
"1400 Sq Feet Flat Is Ready To Grow Your Home Experience In Aftab Nagar , Block E", Aftab Nagar,Block E,3,3,1425.0,9975000.0
A Well Defined Flat Of 1250 Sq Ft In South Banasree Project Is Available For Rent, Banasree,South Banasree Project,3,3,900.0,6000000.0
West Rampura Offers You This Lovely Home Of 2 Bedroom Which Is Vacant Right Now For R..., Rampura,West Rampura,2,2,650.0,2200000.0
Exquisite Flat Of 1465 Sq Ft Is Ready For Rent In Shantinagar, Shantinagar,Peer Saheber Goli,3,3,665.0,3800000.0
Modern 1800 sq ft flat is up for rent in bashundhara r-a, Bashundhara R-A,Block G,3,4,1250.0,9500000.0
1600 Sq Ft Vacant Flat For Family Is Ready For Viewing At Lalmatia, Lalmatia,Block F,3,3,2050.0,19500000.0
"This 2500 Sq Ft Apartment Is Now Available And Vacant For Rent In Sector 6, Uttara", Uttara,Sector 6,3,3,1637.0,13400000.0
Appealing Property In Bashundhara R/A – 2410 Sq Ft Flat For Rent, Bashundhara R-A,Block A,3,4,1600.0,12000000.0
"Deal With This 1400 Sq Ft Apartment For Rent In Banasree, Block E", Banasree,Block E,3,3,1100.0,6050000.0
5500 Sq Ft Spacious Flat With Modern Home Fittings Is For Rent In Gulshan 2, Gulshan,Gulshan 2,5,5,1100.0,6050000.0
An Apartment Of 3500 Sq Ft Is Available For Rent In The Most Prime Location Of Gulsha..., Gulshan,Gulshan 1,4,4,1200.0,7000000.0
3000 Sq Ft Apartment For Rent In Gulshan 2, Baridhara,Block K,3,4,1150.0,5500000.0
Visit This Flat For Rent In Lalmatia Nearby Lalmatia Girls&#039; High School, Lalmatia,Block E,3,3,1115.0,12000000.0
Amazing Flat Of 1700 Sq Ft Is Up For Rent In Shyamoli, Shyamoli,Ring Road,3,3,1120.0,9950000.0
Wonderful Flat Of 1700 Sq Ft Is Available For Rent In Shyamoli, Shyamoli,Ring Road,3,3,1522.0,12176000.0
1600 Square Feet 3 Bed Apt. Is Ready To Rent In Kalabagan, Kalabagan,Lake Circus Road,3,3,2400.0,20000000.0
1900 Sq Ft Standard Flat Is Up For Rent In Lalmatia, Lalmatia,Block F,3,4,1500.0,11000000.0
Comfortable And Nicely Planned Flat In Kallyanpur For Rent Nearby Kallyanpur Shahi Ma..., Mirpur,Kallyanpur,4,3,1450.0,9500000.0
"Start A New Home, In This 1400 Sq Ft Apartment For Rent In Baitul Aman Housing Societ...", Adabor,Baitul Aman Housing Society,3,3,2000.0,11500000.0
An Apartment Of 1500 Square Feet For Rent Is All Set For You To Settle In Shyamoli, Shyamoli,Road No 2,3,3,1220.0,5000000.0
1175 Square Feet Apartment Is For Rent In Mirpur, Mirpur,Monipur,3,3,740.0,4000000.0
Avail The Lucrative Deal Of Renting This 1000 Sq Ft Apartment In West Dhanmondi, Dhanmondi,West Dhanmondi,2,3,1320.0,5000000.0
A Very Well-fitted Apartment Is Here Sited At Darussalam Featuring 1600 Sq Ft Space F..., Mirpur,Darussalam,3,3,1265.0,12650000.0
Grab This 700 Sq Ft Flat Up For rent In Mohammadpur Near Mohammadpur Girls&#039; High..., Mohammadpur,Nurjahan Road,2,2,2553.0,38000000.0
Check This Flat In Bashundhara R-a For Rent Which Is Ready To Move In, Bashundhara R-A,Block G,3,3,1590.0,11200000.0
Flat For Rent In Baridhara Block J Near High Commission Of Malaysia, Baridhara,Block J,3,4,800.0,8600000.0
"Beautiful and well-constructed 2000 SQ Ft apartment is ready for rent at Bashundhara,...", Bashundhara R-A,Block I,3,3,2000.0,21500000.0
2000 Square Feet Apartment For Rent In Gulshan 1, Gulshan,Gulshan 1,3,3,1505.0,13500000.0
"Get Comfortable In A 1650 Sq Ft Flat For Rent In Dhanmondi, Near Dhanmondi Club And C...", Dhanmondi,Road No 7A,3,3,2105.0,19500000.0
"Grab This 1860 Sq Ft Nice Flat, Which Is Vacant To In Banglamotors Area.", Banglamotors,Kazi Nazrul Islam Avenue,2,3,800.0,6650000.0
Ready To Rent | 1450 SFT Apartment | Well Maintained, Aftab Nagar,Block E,3,3,950.0,4000000.0
"Take This 1150 Sq Ft Apartment For Rent In Aftab Nagar, Block G", Aftab Nagar,Block G,3,3,1274.0,10500000.0
"Make This 1300 Sq Ft Flat Your Next Residing Location, Which Is Up For Rent In Mirpur", Mirpur,1st Colony,3,3,1410.0,13800000.0
Suitable 1096 Sq Ft Residential Apartment For Rent In Mirpur, Mirpur,1st Colony,3,3,1331.0,16000000.0
Modest 1442 Square Feet Apartment For Rent In Adabor, Adabor,Baitul Aman Housing Society,3,3,960.0,5600000.0
"2200 Sq Ft Flat With 3 Bedrooms For Rent In Uttara, Sector 6", Uttara,Sector 6,3,3,1090.0,10500000.0
1200 Square Feet Well-constructed Apartment Is Available In Adabor For Rental Purpose, Adabor,Baitul Aman Housing Society,3,3,650.0,3200000.0
1415 Sq Ft Fine Flat Is Now For Rent Which Is In Shyamoli Near To Shyamoli Square, Shyamoli,Road No 2,3,3,1076.0,11000000.0
"Reside conveniently in this well constructed 1380 SQ FT flat for rent in Uttara, near...", Uttara,Sector 10,3,4,1050.0,4725000.0
For rental purpose 1215 SQ FT flat is now up for rent in Bashundhara R/A close to Jam..., Bashundhara R-A,Block C,3,3,1330.0,7900000.0
See This 2000 Square Feet Apartment Is For Rent In Bashundhara R-a Near Apollo Hospit..., Bashundhara R-A,Block A,3,4,1300.0,8000000.0
Delightful 6800 Sq Ft Ready Semi Furnished Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,4,1040.0,6500000.0
Suitable 1100 SFT Apartment For Rent In Uttara 14, Uttara,Sector 14,3,2,1000.0,5500000.0
"Looking For A Perfect Family Home To Rent In Motijheel, Check This 1200 Sq Ft Well Fe...", Motijheel,Gopibag,3,3,1100.0,4620000.0
"Reside At Ease, In This 1325 Sq Ft Flat For Rent In Naya Paltan", Motijheel,Naya Paltan,3,3,1705.0,16900000.0
"Create Your New Home In A Nice Flat Of 2000 SFT For Rent In Bashundhara, Near Apollo ...", Bashundhara R-A,Block A,3,4,1960.0,39000000.0
Vacant Now | Three Bedrooms Apartment | Ready To Rent In Banasree, Banasree,Block F,3,3,2125.0,20000000.0
Elegant Flat Of 2200 Sft Is For Rent In Bashundhara Nearby North South University, Bashundhara R-A,Block B,3,4,1701.0,25200000.0
Visit This Apartment For Rent In Bashundhara R-A Near Sunflower School And College, Bashundhara R-A,Block C,3,4,1300.0,7800000.0
Rarely Available A Spacious Apartment Is Up For Rent At Adabor Nearby Crest Internati..., Adabor,Baitul Aman Housing Society,3,3,600.0,3450000.0
A Beautifully Constructed Apartment Of 1520 Sq Ft Is Vacant Right Now For Rent In Wes..., Agargaon,West Agargaon,3,3,1185.0,11000000.0
"Lovely Apartment Of 1400 Sq Ft Is Up For Rent In Circular Road, Dhanmondi", Dhanmondi,Circular Road,3,4,1610.0,13100000.0
1250 Sq Ft Apartment For Rent In Kallyanpur With All Facilities, Mirpur,Kallyanpur,3,2,2180.0,17500000.0
Affordable And Beautiful Flat Is Up For Rent In Uttara Which Is 1500 Sq Ft, Uttara,Sector 10,3,3,1500.0,21500000.0
Grab This 950 Sq Ft Full Furnished Apartment For Rent In Uttara-9, Uttara,Sector 9,3,2,1395.0,11300000.0
